0,1-100000000,250,4,ALIVE
1,100000001-200000000,450,6,ALIVE
2,200000001-300000000,700,4,ALIVE
3,300000001-400000000,200,4,ALIVE
4,400000001-500000000,2800,4,ALIVE
5,500000001-600000000,600,5,ALIVE
6,600000001-700000000,1800,4,ALIVE
7,700000001-800000000,300,4,ALIVE
8,800000001-900000000,250,4,ALIVE
